"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Nova Scotia","2016A000212","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","35013.4","","","","1"
"2016","Nova Scotia","2016A000212","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","35489.1","","","","1"
"2017","Nova Scotia","2016A000212","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","36106.5","","","","1"
"2018","Nova Scotia","2016A000212","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","36662.5","","","","1"
"2019","Nova Scotia","2016A000212","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465129","3.2.1","37441.0","","","","1"
"2000","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","25058.0","","","","1"
"2001","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","25444.8","","","","1"
"2002","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","26653.8","","","","1"
"2003","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","27240.8","","","","1"
"2004","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","28008.6","","","","1"
"2005","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","28281.0","","","","1"
"2006","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","28787.2","","","","1"
"2007","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","28962.4","","","","1"
"2008","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","29215.2","","","","1"
"2009","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","28802.1","","","","1"
"2010","New Brunswick","2016A000213","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62465434","4.2.1","29404.4","","","","1"
